Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Score Off,Score Deff,Pass Off,Pass Def,Rush Off,Rush Def,Tot Off,Tot Def
63,Alabama-Birmingham,CUSA (West),,11,3,-3.80,5.79,1.99,76.94,-27.13,12.65,2.15,7.95,0.73,9.21,1.77
64,Temple,American (East),,8,5,2.30,-0.52,1.78,80.98,-21.73,11.97,1.01,7.19,0.60,8.99,1.27
65,California,Pac-12 (North),,7,6,-5.72,7.39,1.67,70.56,-28.70,10.93,0.76,7.47,0.57,8.72,0.83
66,Buffalo,MAC (East),,10,4,3.52,-1.95,1.57,81.96,-19.14,12.34,2.55,7.78,1.30,9.31,2.32
67,Kansas State,Big 12,,5,7,-2.41,3.81,1.39,74.27,-27.49,11.68,1.57,8.05,1.52,9.02,2.03
68,Houston,American (West),,8,5,10.81,-9.64,1.18,90.28,-9.77,12.61,2.87,8.63,1.60,10.00,2.72
69,Arkansas State,Sun Belt (West),,8,5,0.00,0.92,0.92,76.52,-21.60,12.08,2.05,7.83,1.31,9.45,2.06
70,Marshall,CUSA (East),,9,4,-1.21,1.90,0.69,74.30,-24.06,11.23,2.31,7.61,0.21,8.84,1.68
71,Middle Tennessee State,CUSA (East),,8,6,1.28,-0.64,0.65,78.53,-21.10,12.47,2.07,6.95,0.94,9.16,1.94
72,North Texas,CUSA (West),,9,4,1.51,-0.93,0.58,79.11,-21.45,12.19,2.97,7.40,0.77,9.42,2.33
73,Tennessee,SEC (East),,5,7,-3.21,3.59,0.39,78.34,-26.94,13.38,1.70,7.60,0.39,9.60,1.40
74,Virginia Tech,ACC (Coastal),,6,7,3.51,-3.88,-0.37,81.38,-18.74,13.02,2.83,8.02,2.10,9.81,2.88
75,Florida International,CUSA (East),,9,4,0.32,-0.85,-0.53,79.36,-20.54,12.48,2.54,7.91,2.12,9.53,2.61
76,Arizona,Pac-12 (South),,5,7,2.69,-3.27,-0.57,79.15,-17.42,13.03,2.45,8.15,1.09,10.01,2.04
77,Toledo,MAC (West),,7,6,7.26,-7.95,-0.70,87.81,-15.17,12.26,2.99,8.45,1.78,9.75,2.77
78,Miami (OH),MAC (East),,6,6,1.18,-1.90,-0.73,75.90,-20.43,11.20,2.28,7.58,1.04,8.82,2.14
79,Tulane,American (West),,7,6,-2.86,2.00,-0.86,72.46,-22.71,12.48,2.59,8.02,0.49,9.20,2.04
80,Eastern Michigan,MAC (West),,7,6,-1.30,0.14,-1.16,74.51,-23.49,12.05,1.17,7.17,1.62,8.94,1.95
81,Colorado,Pac-12 (South),,5,7,-1.51,0.34,-1.17,75.10,-21.52,12.16,1.97,6.85,0.55,9.05,1.44
82,Nevada,MWC (West),,8,5,-1.31,-0.32,-1.62,76.93,-21.69,11.48,2.26,7.53,0.68,9.14,1.79
83,Florida State,ACC (Atlantic),,5,7,-1.22,-0.45,-1.67,74.63,-21.57,12.38,2.19,6.47,-0.01,9.05,1.52
84,Air Force,MWC (Mountain),,5,7,0.47,-2.19,-1.72,78.27,-21.74,13.69,4.41,8.01,0.21,8.96,2.69
85,Northern Illinois,MAC (West),,8,6,-5.55,3.63,-1.92,69.09,-24.81,10.37,2.72,7.29,-0.30,8.17,1.50
86,UCLA,Pac-12 (South),,3,9,1.68,-3.87,-2.19,77.55,-16.80,12.48,2.39,7.85,1.31,9.63,2.00
87,Louisiana,Sun Belt (West),,7,7,4.76,-7.23,-2.46,80.89,-13.53,13.04,3.93,8.98,1.53,10.19,2.73
88,Florida Atlantic,CUSA (East),,5,7,1.02,-3.75,-2.73,78.68,-17.66,12.21,2.49,8.48,1.47,9.52,2.35
89,San Diego State,MWC (West),,7,6,-7.68,4.36,-3.32,67.66,-27.25,12.02,2.54,7.23,0.04,8.67,1.61
90,Wyoming,MWC (Mountain),,6,6,-9.14,5.69,-3.45,67.02,-29.02,9.76,1.05,8.14,0.93,8.41,1.29
91,Southern Mississippi,CUSA (West),,6,5,-4.20,0.02,-4.18,73.61,-23.58,11.32,1.53,6.51,0.60,8.42,1.55
92,Arkansas,SEC (West),,2,10,-3.67,-0.96,-4.63,75.90,-19.91,11.49,2.80,7.83,0.46,9.01,1.75
93,North Carolina,ACC (Coastal),,2,9,2.63,-7.38,-4.75,78.71,-15.41,11.74,2.58,8.79,1.71,9.73,2.49
94,Louisiana Tech,CUSA (West),,8,5,-5.29,0.51,-4.78,71.65,-22.10,11.19,2.02,7.19,1.16,8.77,1.92
95,Kansas,Big 12,,3,9,-3.30,-1.56,-4.86,74.65,-21.31,11.11,3.05,7.96,1.25,8.97,2.37
96,Western Michigan,MAC (West),,7,6,0.29,-5.22,-4.92,79.25,-13.00,12.59,4.44,7.64,1.40,9.31,2.98
97,Southern Methodist,American (West),,5,7,2.39,-7.77,-5.38,78.20,-14.64,11.60,2.52,6.67,0.75,8.74,1.99
98,Louisiana-Monroe,Sun Belt (West),,6,6,-3.05,-2.45,-5.50,72.88,-15.98,11.96,3.96,8.02,1.17,9.46,2.74
99,Illinois,Big Ten (West),,4,8,-0.15,-5.90,-6.05,75.13,-8.85,10.98,4.03,9.34,2.51,9.67,3.53
